iter	RMSE
0	1.671226642
1	1.615808339
2	1.566152824
3	1.5197877
4	1.47507084
5	1.436337514
6	1.398792453
7	1.358083357
8	1.325117369
9	1.285013199
10	1.253488646
11	1.221451599
12	1.186209192
13	1.161300568
14	1.135674865
15	1.111079031
16	1.085669814
17	1.050873537
18	1.031935674
19	1.010386071
20	0.9876978838
21	0.96984055
22	0.9400637687
23	0.9172852881
24	0.9038128672
25	0.8814128333
26	0.8675211403
27	0.8515447056
28	0.8388382624
29	0.8297612161
30	0.8191143426
31	0.8107037358
32	0.7959336696
33	0.7790209494
34	0.7662579385
35	0.7532447122
36	0.7432066791
37	0.7357125242
38	0.7205765864
39	0.7118888904
40	0.7029085166
41	0.6951216198
42	0.6807895819
43	0.6721146818
44	0.6681398981
45	0.6645182137
46	0.6541071716
47	0.6475023053
48	0.6410629668
49	0.6360708414
50	0.6265322872
51	0.6221276441
52	0.6114793041
53	0.6075032451
54	0.6036878125
55	0.6011061225
56	0.5973694157
57	0.5908948755
58	0.5877397185
59	0.5800575582
60	0.5781010918
61	0.5751671654
62	0.5711067407
63	0.5691495315
64	0.5667516557
65	0.5641273002
66	0.5610356832
67	0.5583308255
68	0.5575082534
69	0.5559484137
70	0.5545968312
71	0.5497915291
72	0.5479626674
73	0.5467995023
74	0.5455847165
75	0.5386454983
76	0.5365665476
77	0.5344450672
78	0.5334823812
79	0.5303188779
80	0.5277336538
81	0.5263752494
82	0.5207708392
83	0.5180821812
84	0.5178880331
85	0.5163873337
86	0.5150064519
87	0.5115415981
88	0.50739065
89	0.5018099991
90	0.4972437995
91	0.4927431158
92	0.4910011465
93	0.489580156
94	0.4857521069
95	0.4854256004
96	0.4840744155
97	0.4835004395
98	0.4825163655
99	0.4815333722
100	0.4785789628
101	0.4770788529
102	0.4770413066
103	0.4762097562
104	0.4756322769
105	0.4750346464
106	0.4733228824
107	0.4719716661
108	0.4693099618
109	0.4678918875
110	0.4673229944
111	0.4651760226
112	0.4647616513
113	0.4613561517
114	0.4608193305
115	0.4588982414
116	0.455799922
117	0.4541759972
118	0.4536331308
119	0.4510741079
120	0.4495436384
121	0.4495285286
122	0.449295443
123	0.4481512914
124	0.4481259252
125	0.4471492396
126	0.4455902574
127	0.4448916297
128	0.4440204852
129	0.4425100828
130	0.4417992579
131	0.4403531552
132	0.4393100466
133	0.4379773422
134	0.4374397056
135	0.4371094377
136	0.4362955765
137	0.434178433
138	0.4341642552
139	0.4339004667
140	0.4333473672
141	0.4322484776
142	0.4314109849
143	0.4284841811
144	0.4278073026
145	0.4271817376
146	0.4271307597
147	0.4271297432
148	0.4269957607
149	0.4266998547
150	0.4261967409
151	0.4255475812
152	0.4238895656
153	0.4218098941
154	0.4206491448
155	0.4193880373
156	0.4179048786
157	0.4178909067
158	0.4166192333
159	0.4144093101
160	0.4143957447
161	0.4133484769
162	0.4122313765
163	0.4122245994
164	0.4121060581
165	0.4116878815
166	0.4115597975
167	0.4110187392
168	0.410418002
169	0.4097467035
170	0.409729923
171	0.4092460874
172	0.408235526
173	0.4079480416
174	0.406605174
175	0.4060376383
176	0.4050999839
177	0.4045597733
178	0.403849348
179	0.4038304739
180	0.4030538227
181	0.4016185084
182	0.4016016036
183	0.4009084221
184	0.4008074003
185	0.4000376708
186	0.3994975883
187	0.3987453774
188	0.3967694278
189	0.3954913876
190	0.394412994
191	0.3940965199
192	0.3939008345
193	0.3931224029
194	0.3928161293
195	0.3921302641
196	0.3903536527
197	0.390109962
198	0.3894002597
199	0.3890495686
200	0.3885730174
201	0.3878673286
202	0.3868138707
203	0.3866518224
204	0.3855144192
205	0.3848402229
206	0.3837954835
207	0.3832011728
208	0.3820622849
209	0.3808484336
210	0.3808207492
211	0.3804969846
212	0.3804096711
213	0.3802531503
214	0.3794918326
215	0.3790463118
216	0.3781847995
217	0.3771228544
218	0.376666336
219	0.3766523797
220	0.3759861533
221	0.3753854447
222	0.375080869
223	0.3750311606
224	0.3747908652
225	0.3743520565
226	0.3739001065
227	0.3738512101
228	0.3728864476
229	0.3720106121
230	0.3708642429
231	0.3703800583
232	0.3694361268
233	0.3686930925
234	0.3673182265
235	0.3672006936
236	0.366965993
237	0.3657988116
238	0.3652805374
239	0.3644246304
240	0.3634708173
241	0.3626885701
242	0.362129777
243	0.3612911413
244	0.3609516263
245	0.3600674736
246	0.3598039801
247	0.3594610047
248	0.3593100471
249	0.3584305155
250	0.3576350841
251	0.3575899667
252	0.356336645
253	0.3561449433
254	0.3554072385
255	0.3551833267
256	0.3544187359
257	0.3538069262
258	0.3529974875
259	0.352561156
260	0.3519283602
261	0.3512483978
262	0.3510407871
263	0.3503791068
264	0.3503551035
265	0.3496468505
266	0.3490218101
267	0.3486346902
268	0.3485787855
269	0.3479412433
270	0.347715268
271	0.346952164
272	0.3462619685
273	0.3461090048
274	0.3460868233
275	0.3454598625
276	0.3450418104
277	0.3442609916
278	0.3438868929
279	0.343435803
280	0.3422422246
281	0.3421365676
282	0.3420475638
283	0.3418884814
284	0.3414272117
285	0.3410765279
286	0.340412993
287	0.3395943659
288	0.3394656696
289	0.3386949896
290	0.3386462831
291	0.3383444287
292	0.3377709963
293	0.3374337181
294	0.3373458797
295	0.3362965197
296	0.3357406107
297	0.3352352826
298	0.3346265057
299	0.3345213242
300	0.3337572962
301	0.3334515365
302	0.3328323022
303	0.3318630991
304	0.3317758202
305	0.3314712321
306	0.3307947656
307	0.3299884526
308	0.3294261418
309	0.32898834
310	0.3285851324
311	0.3284037736
312	0.3279893289
313	0.3272985701
314	0.3264625111
315	0.3258868667
316	0.3258651436
317	0.3253139675
318	0.3251981448
319	0.3250883452
320	0.3244080742
321	0.3239575788
322	0.3234710753
323	0.3231538492
324	0.3226891423
325	0.3226638246
326	0.3226524511
327	0.3222814998
328	0.3219378687
329	0.321930505
330	0.3219008128
331	0.3216288028
332	0.3209174453
333	0.3203026968
334	0.3198068965
335	0.3191196943
336	0.3184794566
337	0.3181613355
338	0.3180998407
339	0.3180746879
340	0.3172439343
341	0.3170056203
342	0.3167967713
343	0.3160364584
344	0.3160003879
345	0.3155841537
346	0.3148423899
347	0.3146478844
348	0.3146166997
349	0.3142379027
350	0.3134992989
351	0.3133943078
352	0.3131436263
353	0.3124941954
354	0.3118773581
355	0.3116672997
356	0.3111787329
357	0.3109928357
358	0.3104922107
359	0.3103225072
360	0.3103115137
361	0.3098696721
362	0.308931929
363	0.3089169087
364	0.3083530485
365	0.3080571058
366	0.3073615347
367	0.3071464815
368	0.3065904805
369	0.3065723114
370	0.3064193538
371	0.3056661371
372	0.3052935328
373	0.304850656
374	0.3044100929
375	0.3036426855
376	0.3030917295
377	0.3028891234
378	0.3026928353
379	0.3024486124
380	0.3015334088
381	0.3015197749
382	0.301391322
383	0.3007810412
384	0.3005613628
385	0.2998067734
386	0.299727852
387	0.2988446213
388	0.2985037425
389	0.2983901195
390	0.2978077623
391	0.2976133443
392	0.2973914458
393	0.2967815487
394	0.2967231191
395	0.2960580588
396	0.2959501982
397	0.2957566438
398	0.2956270503
399	0.2952526101
400	0.2947611806
401	0.294511622
402	0.2939538538
403	0.2933592818
404	0.293230443
405	0.2927967674
406	0.2925116053
407	0.2922132651
408	0.2916821678
409	0.2916423867
410	0.291523496
411	0.2910503846
412	0.290117178
413	0.2899929128
414	0.2892694073
415	0.2892599236
416	0.2889265319
417	0.2882788881
418	0.2881118812
419	0.2879953079
420	0.287866389
421	0.2875566104
422	0.2871291648
423	0.2868482397
424	0.2865012478
425	0.2861250664
426	0.285768559
427	0.285732831
428	0.2855003883
429	0.285214868
430	0.284570339
431	0.2837327324
432	0.2836251771
433	0.2829685851
434	0.2823325206
435	0.2819218512
436	0.2814498631
437	0.281156376
438	0.2809127009
439	0.2803521854
440	0.2800214695
441	0.2797134056
442	0.2792715767
443	0.2788964809
444	0.2785903659
445	0.2784595792
446	0.2779091654
447	0.2776875595
448	0.2775631803
449	0.2772809618
450	0.2771640446
451	0.2771581109
452	0.2765642194
453	0.2762892179
454	0.2757726356
455	0.2752620625
456	0.2746009472
457	0.2745973825
458	0.2742513692
459	0.274007913
460	0.2736396386
461	0.2733276156
462	0.2725615727
463	0.2725458226
464	0.2721600809
465	0.271747628
466	0.2713487162
467	0.2707427033
468	0.2706074302
469	0.2704709178
470	0.2701065908
471	0.2697930243
472	0.2697028767
473	0.2694952252
474	0.2694270173
475	0.269011705
476	0.2689644503
477	0.2686572616
478	0.2685218089
479	0.2684903985
480	0.2681294148
481	0.2678671445
482	0.2671520972
483	0.2667891572
484	0.2663069071
485	0.2660067549
486	0.2657807971
487	0.2655427866
488	0.2652655482
489	0.2650868975
490	0.2649758925
491	0.2649464225
492	0.2644668713
493	0.2640437478
494	0.2637055613
495	0.2635152402
496	0.2632486978
497	0.2631078161
498	0.2627236991
499	0.2622132379
500	0.2621354226
501	0.2616013824
502	0.2610372923
503	0.2606044939
504	0.2601039045
505	0.2600613861
506	0.2595065765
507	0.2592249329
508	0.2586035605
509	0.2579640858
510	0.2575808641
511	0.2572975054
512	0.257259649
513	0.2572512108
514	0.2569237136
515	0.2568207929
516	0.2567377641
517	0.2558184759
518	0.2556646817
519	0.255083003
520	0.254594608
521	0.2542694466
522	0.253727713
523	0.2536607376
524	0.2530906096
525	0.2529670761
526	0.252796905
527	0.252714014
