iter	Passed	Remaining
0	87	86972
1	186	93310
2	280	93321
3	376	93681
4	478	95290
5	575	95288
6	674	95693
7	771	95607
8	860	94757
9	947	93779
10	1043	93784
11	1134	93367
12	1221	92772
13	1313	92501
14	1400	91978
15	1489	91581
16	1574	91063
17	1663	90737
18	1757	90716
19	1832	89790
20	1921	89573
21	2005	89156
22	2082	88477
23	2198	89417
24	2280	88947
25	2362	88493
26	2453	88427
27	2541	88219
28	2621	87764
29	2703	87408
30	2792	87291
31	2850	86212
32	2933	85956
33	3015	85672
34	3082	84990
35	3164	84728
36	3245	84476
37	3330	84320
38	3420	84278
39	3502	84058
40	3588	83944
41	3679	83932
42	3768	83873
43	3852	83704
44	3936	83539
45	4019	83366
46	4109	83321
47	4195	83209
48	4283	83133
49	4372	83068
50	4461	83027
51	4547	82907
52	4632	82777
53	4719	82679
54	4803	82533
55	4889	82430
56	4980	82389
57	5070	82359
58	5161	82328
59	5257	82372
60	5347	82324
61	5434	82215
62	5525	82176
63	5614	82107
64	5701	82012
65	5785	81873
66	5866	81690
67	5957	81656
68	6043	81549
69	6132	81472
70	6224	81446
71	6313	81378
72	6400	81271
73	6487	81186
74	6569	81029
75	6655	80922
76	6738	80769
77	6827	80704
78	6913	80602
79	7004	80552
80	7105	80620
81	7190	80494
82	7278	80414
83	7364	80308
84	7386	79517
85	7469	79389
86	7557	79315
87	7645	79233
88	7731	79141
89	7817	79041
90	7908	79000
91	8021	79173
92	8156	79545
93	8300	80001
94	8390	79926
95	8478	79838
96	8562	79714
97	8646	79580
98	8731	79468
99	8814	79329
100	8894	79167
101	8978	79045
102	8994	78329
103	9076	78194
104	9155	78040
105	9244	77967
106	9328	77853
107	9419	77797
108	9507	77718
109	9592	77615
110	9685	77573
111	9772	77481
112	9864	77434
113	9957	77392
114	10046	77311
115	10132	77216
116	10199	76975
117	10282	76856
118	10366	76750
119	10454	76668
120	10543	76594
121	10582	76156
122	10675	76113
123	10761	76023
124	10784	75490
125	10872	75414
126	10953	75295
127	11042	75229
128	11128	75137
129	11219	75085
130	11305	74996
131	11394	74926
132	11483	74857
133	11572	74789
134	11660	74713
135	11754	74673
136	11843	74605
137	11934	74547
138	11988	74261
139	12078	74195
140	12162	74097
141	12246	73996
142	12330	73898
143	12418	73818
144	12502	73721
145	12600	73704
146	12668	73514
147	12701	73121
148	12762	72892
149	12844	72784
150	12930	72701
151	13023	72655
152	13108	72567
153	13189	72456
154	13284	72421
155	13369	72333
156	13463	72291
157	13493	71908
158	13582	71840
159	13677	71805
160	13718	71487
161	13811	71446
162	13900	71380
163	13945	71089
164	14023	70968
165	14114	70913
166	14201	70837
167	14291	70775
168	14385	70735
169	14483	70711
170	14532	70453
171	14617	70369
172	14709	70314
173	14807	70295
174	14897	70232
175	14986	70164
176	15077	70104
177	15165	70031
178	15252	69958
179	15303	69713
180	15389	69635
181	15469	69527
182	15483	69127
183	15569	69049
184	15658	68981
185	15746	68910
186	15836	68852
187	15926	68789
188	16017	68732
189	16107	68667
190	16195	68597
191	16283	68525
192	16383	68506
193	16482	68480
194	16573	68420
195	16659	68339
196	16746	68261
197	16832	68179
198	16920	68106
199	17009	68038
200	17095	67958
201	17187	67899
202	17301	67928
203	17402	67904
204	17486	67813
205	17572	67732
206	17657	67644
207	17742	67559
208	17824	67460
209	17916	67398
210	18002	67318
211	18088	67235
212	18186	67195
213	18271	67110
214	18356	67023
215	18440	66930
216	18523	66839
217	18610	66757
218	18692	66660
219	18779	66580
220	18861	66482
221	18946	66396
222	19047	66368
223	19133	66283
224	19220	66203
225	19306	66121
226	19404	66078
227	19500	66026
228	19588	65951
229	19646	65774
230	19734	65697
231	19832	65651
232	19922	65583
233	20011	65507
234	20099	65431
235	20195	65377
236	20284	65305
237	20368	65213
238	20451	65119
239	20541	65048
240	20631	64975
241	20719	64898
242	20807	64821
243	20896	64743
244	20984	64665
245	21072	64587
246	21154	64491
247	21239	64402
248	21327	64325
249	21407	64222
250	21496	64145
251	21586	64072
252	21670	63984
253	21762	63917
254	21860	63867
255	21977	63871
256	22088	63857
257	22180	63790
258	22267	63708
259	22375	63685
260	22479	63648
261	22576	63594
262	22671	63531
263	22763	63461
264	22855	63391
265	22954	63339
266	23042	63258
267	23142	63209
268	23271	63238
269	23363	63167
270	23469	63133
271	23565	63072
272	23667	63025
273	23759	62953
274	23856	62895
275	23970	62878
276	24068	62821
277	24160	62746
278	24243	62651
279	24357	62632
280	24464	62596
281	24554	62517
282	24651	62457
283	24745	62386
284	24845	62332
285	24936	62253
286	25033	62190
287	25116	62092
288	25210	62022
289	25293	61925
290	25386	61852
291	25479	61778
292	25565	61688
293	25652	61600
294	25749	61536
295	25841	61461
296	25925	61366
297	26023	61302
298	26115	61226
299	26206	61147
300	26307	61092
301	26402	61024
302	26491	60939
303	26581	60858
304	26670	60774
305	26776	60728
306	26866	60646
307	26963	60580
308	27059	60512
309	27147	60424
310	27238	60345
311	27339	60286
312	27434	60215
313	27534	60155
314	27627	60077
315	27712	59985
316	27800	59899
317	27896	59827
318	27989	59751
319	28092	59697
320	28179	59607
321	28281	59549
322	28382	59490
323	28494	59452
324	28586	59371
325	28671	59278
326	28760	59192
327	28868	59145
328	28970	59086
329	29067	59016
330	29151	58919
331	29235	58822
332	29323	58734
333	29408	58640
334	29513	58586
335	29605	58506
336	29705	58442
337	29807	58380
338	29912	58325
339	30021	58277
340	30131	58230
341	30227	58156
342	30327	58090
343	30420	58010
344	30517	57939
345	30619	57876
346	30717	57805
347	30805	57716
348	30896	57633
349	30984	57542
350	31074	57456
351	31166	57374
352	31260	57296
353	31351	57211
354	31442	57127
355	31537	57050
356	31625	56961
357	31720	56884
358	31818	56812
359	31924	56755
360	32030	56696
361	32131	56629
362	32222	56544
363	32318	56468
364	32429	56418
365	32542	56371
366	32639	56296
367	32731	56213
368	32836	56151
369	32938	56084
370	33035	56008
371	33142	55950
372	33280	55944
373	33385	55880
374	33476	55794
375	33567	55707
376	33657	55619
377	33756	55546
378	33844	55455
379	33937	55371
380	34035	55297
381	34115	55192
382	34200	55095
383	34280	54991
384	34365	54895
385	34447	54794
386	34528	54692
387	34615	54599
388	34700	54503
389	34786	54409
390	34871	54314
391	34955	54216
392	35042	54124
393	35131	54034
394	35214	53936
395	35304	53847
396	35385	53746
397	35470	53650
398	35556	53557
399	35636	53455
400	35723	53362
401	35810	53270
402	35896	53177
403	35991	53095
404	36084	53012
405	36186	52942
406	36270	52846
407	36360	52758
408	36446	52665
409	36532	52571
410	36610	52466
411	36691	52365
412	36773	52266
413	36859	52173
414	36944	52078
415	37032	51988
416	37127	51907
417	37217	51820
418	37302	51724
419	37392	51636
420	37475	51540
421	37559	51444
422	37647	51353
423	37762	51300
424	37849	51207
425	37932	51111
426	38012	51009
427	38096	50914
428	38190	50831
429	38287	50752
430	38385	50675
431	38474	50587
432	38559	50491
433	38645	50399
434	38737	50314
435	38820	50217
436	38901	50117
437	38981	50016
438	39062	49918
439	39141	49816
440	39226	49722
441	39311	49628
442	39395	49533
443	39480	49439
444	39564	49344
445	39650	49252
446	39734	49157
447	39819	49062
448	39899	48963
449	39989	48876
450	40079	48788
451	40153	48681
452	40238	48588
453	40324	48495
454	40408	48401
455	40499	48314
456	40577	48214
457	40652	48108
458	40745	48024
459	40838	47941
460	40928	47853
461	41018	47766
462	41102	47671
463	41191	47583
464	41288	47503
465	41375	47413
466	41456	47315
467	41544	47226
468	41629	47132
469	41724	47050
470	41812	46960
471	41902	46874
472	41984	46778
473	42071	46686
474	42154	46591
475	42241	46500
476	42325	46407
477	42417	46322
478	42515	46243
479	42610	46161
480	42701	46074
481	42790	45986
482	42882	45900
483	42972	45813
484	43053	45716
485	43149	45635
486	43237	45545
487	43322	45453
488	43405	45358
489	43489	45264
490	43576	45173
491	43659	45079
492	43749	44992
493	43836	44900
494	43919	44807
495	44007	44717
496	44090	44622
497	44179	44534
498	44263	44440
499	44345	44345
500	44437	44260
501	44537	44183
502	44627	44094
503	44717	44007
504	44811	43924
505	44905	43840
506	44998	43755
507	45095	43675
508	45191	43593
509	45284	43508
510	45362	43409
511	45441	43311
512	45525	43218
513	45616	43131
514	45700	43038
515	45784	42945
516	45871	42854
517	45966	42772
518	46057	42685
519	46141	42591
520	46233	42506
521	46322	42418
522	46418	42335
523	46506	42245
524	46585	42148
525	46666	42053
526	46759	41968
527	46854	41884
528	46943	41796
529	47036	41711
530	47124	41622
531	47215	41535
532	47305	41448
533	47392	41357
534	47480	41268
535	47564	41175
536	47658	41091
537	47751	41005
538	47843	40920
539	47927	40826
540	48010	40733
541	48095	40641
542	48187	40555
543	48278	40468
544	48364	40377
545	48458	40293
546	48549	40206
547	48634	40114
548	48721	40024
549	48807	39933
550	48893	39842
551	48984	39755
552	49067	39662
553	49159	39575
554	49253	39491
555	49346	39406
556	49435	39317
557	49517	39223
558	49601	39130
559	49685	39038
560	49771	38948
561	49855	38855
562	49940	38763
563	50026	38673
564	50118	38586
565	50214	38503
566	50298	38411
567	50384	38320
568	50477	38235
569	50575	38153
570	50673	38071
571	50760	37981
572	50846	37890
573	50931	37799
574	51019	37710
575	51110	37623
576	51198	37533
577	51287	37444
578	51376	37356
579	51466	37268
580	51553	37178
581	51633	37084
582	51720	36993
583	51810	36906
584	51894	36813
585	51984	36726
586	52097	36654
587	52198	36574
588	52329	36515
589	52423	36429
590	52508	36338
591	52600	36251
592	52697	36168
593	52787	36080
594	52882	35995
595	52972	35907
596	53061	35818
597	53152	35731
598	53267	35660
599	53357	35571
600	53455	35488
601	53551	35404
602	53642	35316
603	53729	35226
604	53811	35132
605	53891	35038
606	53988	34954
607	54073	34863
608	54176	34783
609	54263	34692
610	54340	34596
611	54425	34505
612	54512	34414
613	54606	34329
614	54702	34244
615	54783	34150
616	54871	34061
617	54962	33973
618	55052	33885
619	55140	33795
620	55233	33709
621	55319	33618
622	55408	33529
623	55497	33440
624	55588	33352
625	55682	33267
626	55769	33177
627	55861	33089
628	55947	32999
629	56036	32910
630	56141	32830
631	56226	32739
632	56318	32652
633	56405	32562
634	56489	32470
635	56591	32388
636	56681	32300
637	56767	32209
638	56856	32120
639	56939	32028
640	57031	31941
641	57121	31852
642	57209	31763
643	57305	31678
644	57389	31586
645	57479	31497
646	57564	31407
647	57658	31320
648	57758	31237
649	57857	31153
650	57946	31065
651	58039	30978
652	58127	30888
653	58215	30799
654	58315	30715
655	58409	30629
656	58505	30543
657	58597	30456
658	58684	30366
659	58774	30277
660	58860	30187
661	58955	30101
662	59057	30018
663	59155	29933
664	59255	29850
665	59344	29761
666	59432	29671
667	59517	29580
668	59612	29494
669	59710	29409
670	59808	29324
671	59896	29235
672	59986	29146
673	60091	29065
674	60181	28976
675	60271	28887
676	60358	28797
677	60458	28713
678	60559	28629
679	60647	28540
680	60746	28455
681	60838	28367
682	60940	28284
683	61038	28199
684	61135	28113
685	61228	28025
686	61336	27945
687	61430	27857
688	61518	27767
689	61667	27705
690	61771	27623
691	61857	27532
692	61957	27447
