State,District_Name_x,Crop,Year,Season_x,Area,Production,Yield,Season_y,avg_temp,max_temp,min_temp,total_rainfall,District_Name_y
Odisha,ANUGUL,Arhar/Tur,1997,Summer     ,469.0,115.0,0.25,Summer,31.696393442622952,45.56,18.99,135.95,ANUGUL
Odisha,ANUGUL,Arhar/Tur,1999,Kharif     ,7960.0,5010.0,0.63,Kharif,26.761830065359476,41.06,16.73,1217.58,ANUGUL
Odisha,ANUGUL,Arhar/Tur,2000,Kharif     ,8930.0,6430.0,0.72,Kharif,26.927124183006537,37.95,15.42,856.98,ANUGUL
Odisha,ANUGUL,Arhar/Tur,2002,Kharif     ,8730.0,6050.0,0.69,Kharif,27.20516339869281,41.7,15.52,1014.24,ANUGUL
Odisha,ANUGUL,Arhar/Tur,2003,Kharif     ,9500.0,6500.0,0.68,Kharif,27.46091503267974,46.23,18.55,1639.26,ANUGUL
Odisha,ANUGUL,Arhar/Tur,2019,Kharif     ,9250.0,9570.0,1.03,Kharif,28.009477124183004,44.59,19.5,1228.54,ANUGUL
Odisha,BALANGIR,Arhar/Tur,1997,Summer     ,482.0,111.0,0.23,Summer,31.85295081967213,45.71,19.1,110.67,BALANGIR
Odisha,BALANGIR,Arhar/Tur,1999,Kharif     ,12290.0,5710.0,0.46,Kharif,26.255359477124184,41.97,16.6,1190.41,BALANGIR
Odisha,BALANGIR,Arhar/Tur,2000,Kharif     ,12470.0,7320.0,0.59,Kharif,26.41045751633987,39.06,15.76,830.75,BALANGIR
Odisha,BALANGIR,Arhar/Tur,2001,Kharif     ,10010.0,4750.0,0.47,Kharif,26.027385620915034,39.61,16.64,1395.77,BALANGIR
Odisha,BALANGIR,Arhar/Tur,2002,Kharif     ,7680.0,4850.0,0.63,Kharif,26.75392156862745,40.82,14.56,874.9,BALANGIR
Odisha,BALANGIR,Arhar/Tur,2003,Kharif     ,9160.0,7140.0,0.78,Kharif,27.050718954248367,46.25,18.94,1608.45,BALANGIR
Odisha,BALANGIR,Arhar/Tur,2019,Kharif     ,8600.0,10310.0,1.2,Kharif,27.52176470588235,44.74,19.76,1336.73,BALANGIR
Odisha,BALESHWAR,Arhar/Tur,1997,Summer     ,3913.0,646.0,0.17,Summer,30.011803278688525,42.57,19.57,202.87,BALESHWAR
